title,workflow_json,catalog
节能改造项目前期，分析一下常减压装置能耗高的原因,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id5\""]},{\""id\"":\""id8\"",\""tool\"":\""Redesign\"",\""ability\"":\""校验限制条件\"",\""dep\"":[\""id5\""]},{\""id\"":\""id9\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id8\""]}]"", ""branch_rules"": ""[{\""from\"":\""id5\"",\""to\"":\""id6\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 0\""},{\""from\"":\""id5\"",\""to\"":\""id8\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 1\""}]""}",evaluation
装置停车检修前，帮我模拟验证气化炉模型在仿真状态下的稳态工况，除了数据结果外，请同时生成关键参数（如温度、压力、合成气成分）的趋势曲线图和数据表格,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""OTS\"",\""ability\"":\""生成工艺模型并执行\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""OTS\"",\""ability\"":\""模拟设备参数值\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""OTS\"",\""ability\"":\""end\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[]""}",simulation
装置长期运行能效下降，如何降低氯碱装置的能耗？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造幅度\"",\""dep\"":[\""id2\""]},{\""id\"":\""id7\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[]""}",evaluation
软件开发环境配置完成，运行正常，帮我创建一个控制模型,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id6\""]},{\""id\"":\""id8\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id7\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id3\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id10\"",\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
重整装置开工前PID参数基于历史数据整定,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""PID\"",\""ability\"":\""基于历史数据的回路整定\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""PID\"",\""ability\"":\""多策略自适应整定\"",\""dep\"":[\""id2\""]},{\""id\"":\""id6\"",\""tool\"":\""PID\"",\""ability\"":\""基于回路波形判断的参数迭代整定\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[]""}",statistics
重新设计换热网络，快点,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id1\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[]""}",optimization
锅炉性能下降期，我想实现锅炉回路的智能控制，帮我设计控制方案,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id6\""]},{\""id\"":\""id8\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id7\""]},{\""id\"":\""id9\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id8\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id9\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id12\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
锅炉智能控制，AI方案帮我设计,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id6\""]},{\""id\"":\""id9\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id9\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id10\"",\""id2\""]},{\""id\"":\""id12\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id11\""]},{\""id\"":\""id13\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id12\"",\""id11\""]},{\""id\"":\""id14\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id13\""]},{\""id\"":\""id15\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id14\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id11\"",\""to\"":\""id12\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
长期运行能效分析，常减压装置的设备和环节可能会造成用能瓶颈，请帮我评估一下并给出解决方案？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造目标\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""Redesign\"",\""ability\"":\""选择改造幅度\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id5\""]},{\""id\"":\""id8\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id5\""]},{\""id\"":\""id9\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id8\""]},{\""id\"":\""id11\"",\""tool\"":\""Redesign\"",\""ability\"":\""校验限制条件\"",\""dep\"":[\""id8\""]},{\""id\"":\""id12\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id11\""]}]"", ""branch_rules"": ""[{\""from\"":\""id5\"",\""to\"":\""id8\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 1\""},{\""from\"":\""id8\"",\""to\"":\""id9\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 0\""},{\""from\"":\""id8\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 1\""}]""}",evaluation
长期运行能效跟踪，分析一下常减压装置能耗高的原因,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",evaluation
一次盐水折流槽pH AI智能控制方案构建,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""AI控制补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""数据质量分析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""AI可控性评估\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""关键影响因素分析\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""SPC\"",\""ability\"":\""工况识别与验证\"",\""dep\"":[\""id4\""]},{\""id\"":\""id6\"",\""tool\"":\""SPC\"",\""ability\"":\""预测模型构建与验证\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""SPC\"",\""ability\"":\""控制器搭建及验证\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",control
基于xlsx上传文件，帮我分析存在什么异常（核心意图）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""IDX\"",\""ability\"":\""上传数据与解析\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""IDX\"",\""ability\"":\""确认解析结果\"",\""dep\"":[\""id1\""]},{\""id\"":\""id5\"",\""tool\"":\""IDX\"",\""ability\"":\""执行查询与反馈\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq true\""}]""}",statistics
常减压装置哪些设备和环节是用能的瓶颈（核心意图）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""节能降耗瓶颈分析\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id2\""]}]"", ""branch_rules"": ""[]""}",evaluation
换热系统综合性能评估，网络与设备协同,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",evaluation
控制效果不稳定，帮我评估有什么异常,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""APC控制器性能监控查询\"",\""dep\"":null},{\""id\"":\""id3\"",\""tool\"":\""APC\"",\""ability\"":\""控制器历史指标数据查询\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",statistics
控制考试题，生成一下,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""OTS\"",\""ability\"":\""生成工艺模型并执行\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""OTS\"",\""ability\"":\""模拟设备参数值\"",\""dep\"":[\""id1\""]},{\""id\"":\""id4\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id5\"",\""tool\"":\""PID\"",\""ability\"":\""回路数据有效性检测\"",\""dep\"":[\""id4\""]},{\""id\"":\""id7\"",\""tool\"":\""PID\"",\""ability\"":\""基于专家经验的参数整定\"",\""dep\"":[\""id5\""]},{\""id\"":\""id9\"",\""tool\"":\""PID\"",\""ability\"":\""控制回路性能评估及诊断\"",\""dep\"":[\""id5\""]},{\""id\"":\""id10\"",\""tool\"":\""PID\"",\""ability\"":\""多策略自适应整定\"",\""dep\"":[\""id9\""]},{\""id\"":\""id12\"",\""tool\"":\""PID\"",\""ability\"":\""基于回路波形判断的参数迭代整定\"",\""dep\"":[\""id9\""]}]"", ""branch_rules"": ""[{\""from\"":\""id5\"",\""to\"":\""id7\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq false\""},{\""from\"":\""id5\"",\""to\"":\""id9\"",\""expression\"":\""Variable([String(\\\""valid\\\"")]) Eq true\""},{\""from\"":\""id9\"",\""to\"":\""id10\"",\""expression\"":\""Variable([String(\\\""isValveOscillate\\\"")]) Eq false\""},{\""from\"":\""id9\"",\""to\"":\""id12\"",\""expression\"":\""Variable([String(\\\""isValveOscillate\\\"")]) Eq true\""}]""}",simulation
故障诊断文档，基于pdf上传文件，帮我分析存在什么异常？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""上传数据\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT模型微调\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""anomaly_detection\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id4\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""is_contain_data\\\"")]) Eq true\""}]""}",evaluation
施工周期紧张，请帮我在不改变现有换热网络结构的前提下，进行改造,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""指定现场限制条件\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""校验限制条件\"",\""dep\"":[\""id3\""]},{\""id\"":\""id7\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[{\""from\"":\""id3\"",\""to\"":\""id6\"",\""expression\"":\""Variable([String(\\\""branch_result\\\"")]) Eq 1\""}]""}",optimization
查询APC控制方案参数（非优化）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""APC\"",\""ability\"":\""控制方案检索生成\"",\""dep\"":null}]"", ""branch_rules"": ""[]""}",control
电解槽闭环控制，自动调温,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id6\""]},{\""id\"":\""id8\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id7\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id2\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id10\"",\""id2\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
能耗审计发现能效偏低，常减压装置热换网络还有优化的空间吗？,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""Redesign\"",\""ability\"":\""上传数据与校验\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热网络瓶颈\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""Redesign\"",\""ability\"":\""识别换热器瓶颈\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热网络改造\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""Redesign\"",\""ability\"":\""换热器改造\"",\""dep\"":[\""id3\""]}]"", ""branch_rules"": ""[]""}",optimization
锅炉性能下降期，我想实现锅炉回路的智能控制，帮我设计控制方案,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""boiler\"",\""ability\"":\""选择锅炉数据获取方式\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""boiler\"",\""ability\"":\""系统运行历史数据选择\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id3\""]},{\""id\"":\""id5\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id4\"",\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id5\""]},{\""id\"":\""id7\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id6\""]},{\""id\"":\""id8\"",\""tool\"":\""boiler\"",\""ability\"":\""控制效果评估\"",\""dep\"":[\""id7\""]},{\""id\"":\""id10\"",\""tool\"":\""boiler\"",\""ability\"":\""确定锅炉类型\"",\""dep\"":[\""id3\""]},{\""id\"":\""id11\"",\""tool\"":\""boiler\"",\""ability\"":\""确认被控变量信息\"",\""dep\"":[\""id10\"",\""id2\""]},{\""id\"":\""id12\"",\""tool\"":\""boiler\"",\""ability\"":\""确认操作变量信息\"",\""dep\"":[\""id11\""]},{\""id\"":\""id13\"",\""tool\"":\""boiler\"",\""ability\"":\""确认其它干扰变量信息\"",\""dep\"":[\""id12\"",\""id11\""]},{\""id\"":\""id14\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型微调或加载\"",\""dep\"":[\""id13\""]},{\""id\"":\""id15\"",\""tool\"":\""boiler\"",\""ability\"":\""控制模型加载\"",\""dep\"":[\""id14\""]},{\""id\"":\""id16\"",\""tool\"":\""boiler\"",\""ability\"":\""控制算法执行\"",\""dep\"":[\""id15\""]}]"", ""branch_rules"": ""[{\""from\"":\""id2\"",\""to\"":\""id3\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""offline\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id4\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id11\"",\""to\"":\""id12\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq false\""},{\""from\"":\""id2\"",\""to\"":\""id11\"",\""expression\"":\""Variable([String(\\\""run_mode\\\"")]) Eq \\\""online\\\""\""},{\""from\"":\""id3\"",\""to\"":\""id5\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""},{\""from\"":\""id11\"",\""to\"":\""id13\"",\""expression\"":\""Variable([String(\\\""is_upload_file\\\"")]) Eq true\""}]""}",optimization
PID回路性能异常检测与诊断,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""SPC\"",\""ability\"":\""AI控制补充信息\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""SPC\"",\""ability\"":\""上传数据与解析\"",\""dep\"":[\""id1\""]},{\""id\"":\""id3\"",\""tool\"":\""SPC\"",\""ability\"":\""确认建模信息\"",\""dep\"":[\""id2\""]},{\""id\"":\""id4\"",\""tool\"":\""SPC\"",\""ability\"":\""TPT推理计算\"",\""dep\"":[\""id3\""]},{\""id\"":\""id6\"",\""tool\"":\""SPC\"",\""ability\"":\""配置方案\"",\""dep\"":[\""id1\""]},{\""id\"":\""id7\"",\""tool\"":\""SPC\"",\""ability\"":\""实时计算\"",\""dep\"":[\""id6\""]}]"", ""branch_rules"": ""[]""}",control
修改硫酸装置进料水流量参数（非查询）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""PID\"",\""ability\"":\""回路信息查询\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""PID\"",\""ability\"":\""多策略自适应整定\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",statistics
备份考试题目（非生成）,"{""workflow"": ""[{\""id\"":\""id1\"",\""tool\"":\""OTS\"",\""ability\"":\""检测评分服务状态\"",\""dep\"":null},{\""id\"":\""id2\"",\""tool\"":\""OTS\"",\""ability\"":\""查询考试成绩\"",\""dep\"":[\""id1\""]}]"", ""branch_rules"": ""[]""}",simulation
